Player_Name,TeamName_bat,Matches_bat,TotalRuns,Balls,Dotballs,StrikeRate_bat,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year,TeamName_bowl,Matches_bowl,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate_bowl,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Team Name,Price,Price_Cr
Anureet Singh,Rajasthan Royals,3.0,3.0,4.0,,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3*,2018,Rajasthan Royals,3.0,42.0,4.0,,42.0,24.0,,,10.5,4.0,,,1.0,0.0,0.0,0.0,0.0,Rajasthan Royals,0.3 crore,0.3
Arjun Tendulkar,Mumbai Indians,4.0,13.0,9.0,2.0,144.44,0.0,1.0,1.0,0.0,13.00,0.0,0.0,13,2023,Mumbai Indians,4.0,92.0,26.0,42.0,30.66,19.66,58.69,4.91,9.35,9.5,8.0,1.0,3.0,0.0,0.0,0.0,,Mumbai Indians,30 crore,30.0
Arshad Khan,Mumbai Indians,6.0,18.0,15.0,4.0,120.0,0.0,1.0,2.0,1.0,9.00,0.0,0.0,15*,2023,Mumbai Indians,6.0,190.0,27.0,70.0,38.0,17.0,77.89,2.65,13.41,14.1,12.0,0.0,5.0,0.0,0.0,0.0,,Mumbai Indians,0.2 crore,0.2
Arshad Khan,Lucknow Super Giants,4.0,83.0,54.0,20.0,153.7,6.0,5.0,2.0,2.0,41.50,1.0,0.0,58*,2024,Lucknow Super Giants,4.0,114.0,24.0,45.0,114.0,61.0,73.68,3.21,11.21,10.1,8.0,0.0,1.0,0.0,0.0,0.0,,Lucknow Supergiants,0.2 crore,0.2
Ashutosh Sharma,Punjab Kings,11.0,189.0,113.0,38.0,167.25,10.0,15.0,7.0,2.0,27.00,1.0,0.0,61,2024,,,,,,,,,,,,,,,,,,,Punjab Kings,0.2 crore,0.2
Ashutosh Sharma,Delhi Capitals,13.0,204.0,127.0,38.0,160.62,14.0,13.0,7.0,2.0,29.14,1.0,0.0,66*,2025,,,,,,,,,,,,,,,,,,,Delhi Capitals,3.8 crore,3.8
Atharva Taide,Punjab Kings,7.0,186.0,129.0,46.0,144.18,20.0,6.0,7.0,0.0,26.57,2.0,0.0,66,2023,,,,,,,,,,,,,,,,,,,Punjab Kings,0.2 crore,0.2
Atharva Taide,Punjab Kings,2.0,61.0,39.0,12.0,156.41,7.0,2.0,2.0,0.0,30.50,0.0,0.0,46,2024,,,,,,,,,,,,,,,,,,,Punjab Kings,0.2 crore,0.2
Atharva Taide,Sunrisers Hyderabad,1.0,13.0,9.0,5.0,144.44,3.0,0.0,1.0,0.0,13.00,0.0,0.0,13,2025,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,0.3 crore,0.3
Avesh Khan,Lucknow Super Giants,13.0,22.0,13.0,6.0,169.23,0.0,3.0,1.0,3.0,22.00,0.0,0.0,12,2022,Lucknow Super Giants,13.0,416.0,126.0,174.0,23.11,15.88,69.71,4.33,8.72,47.4,13.0,1.0,18.0,1.0,1.0,0.0,,Lucknow Supergiants,10.0,10.0
