BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,16,,46,,343,128,,,22.86,21.6,21.6,,,6.35,54.0,,,,7,4,,,,,15,,,,5/16,5/16,1,,0,0,,0.0,2019,,
Hardik Pandya,,,MI,Mumbai Indians,16,,16,,54,,390,94,,,27.85,18.21,18.21,,,9.17,42.0,,,,28,29,,,,,14,,,,3/20,3/20,0,,0,0,,0.0,2019,,
Chris Morris,,,DC,Delhi Capitals,9,,9,,112,,306,68,,,23.53,15.23,15.23,,,9.27,33.0,,,,1,2,,,,,13,,,,4/23,4/23,0,,0,0,,0.0,2019,,
Rahul Chahar,,,MI,Mumbai Indians,13,,13,,171,,308,125,,,23.69,21.69,21.69,,,6.55,47.0,,,,2,0,,,,,13,,,,4/27,4/27,0,,0,0,,0.0,2019,,
Ishant Sharma,,,DC,Delhi Capitals,13,,13,,50,,349,122,,,26.84,21.23,21.23,,,7.58,46.0,,,,1,1,,,,,13,,,,5/12,5/12,1,,0,0,,0.0,2019,,
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,15,,15,,15,,461,168,,,35.46,27.23,27.23,,,7.81,59.0,,,,1,0,,,,,13,,,,5/19,5/19,1,,0,0,,0.0,2019,,
Krunal Pandya,,,MI,Mumbai Indians,16,,16,,17,,335,94,,,27.91,23.0,23.0,,,7.28,46.0,,,,18,5,,,,,12,,,,3/14,3/14,0,,0,0,,0.0,2019,,
Sandeep Sharma,,,SRH,Sunrisers Hyderabad,11,,11,,220,,352,82,,,29.33,21.33,21.33,,,8.25,42.0,,,,1,0,,,,,12,,,,4/20,4/20,0,,0,0,,0.0,2019,,
Dwayne Bravo,,,CSK,Chennai Super Kings,12,,12,,93,,330,74,,,30.0,22.45,22.45,,,8.01,41.0,,,,6,3,,,,,11,,,,4/22,4/22,0,,0,0,,0.0,2019,,
Amit Mishra,,,DC,Delhi Capitals,11,,11,,107,,270,83,,,24.54,21.81,21.81,,,6.75,40.0,,,,2,0,,,,,11,,,,5/17,5/17,0,,0,0,,0.0,2019,,
Andre Russell,,,KKR,Kolkata Knight Riders,14,,12,,141,,287,61,,,26.09,16.45,16.45,,,9.51,30.0,,,,31,52,,,,,11,,,,5/15,5/15,0,,0,0,,0.0,2019,,
Navdeep Saini,,,RCB,Royal Challengers Bangalore,13,,13,,207,,397,141,,,36.09,26.18,26.18,,,8.27,48.0,,,,0,0,,,,,11,,,,2/24,2/24,0,,0,0,,0.0,2019,,
Jofra Archer,,,RR,Mumbai Indians,11,,11,,181,,291,121,,,26.45,23.45,23.45,,,6.76,43.0,,,,4,4,,,,,11,,,,3/15,3/15,2,,0,0,,0.0,2019,,
Sam Curran,,,PBKS,Punjab Kings,9,,9,,138,,323,60,,,32.3,19.8,19.8,,,9.78,33.0,,,,13,3,,,,,10,,,,4/11,4/11,0,,1,0,,1.0,2019,,
Axar Patel,,,DC,Delhi Capitals,14,,14,,110,,364,110,,,36.4,30.6,30.6,,,7.13,51.0,,,,10,3,,,,,10,,,,4/21,4/21,0,,0,0,,0.0,2019,,
Piyush Chawla,,,KKR,Kolkata Knight Riders,13,,13,,149,,399,87,,,39.9,26.7,26.7,,,8.96,44.0,,,,4,2,,,,,10,,,,4/17,4/17,0,,0,0,,0.0,2019,,
Sunil Narine,,,KKR,Kolkata Knight Riders,12,,12,,156,,347,96,,,34.7,26.6,26.6,,,7.82,44.0,,,,17,9,,,,,10,,,,5/19,5/19,1,,0,0,,0.0,2019,,
Jaydev Unadkat,,,RR,Mumbai Indians,11,,11,,180,,398,58,,,39.8,22.4,22.4,,,10.66,37.0,,,,0,0,,,,,10,,,,5/25,5/25,0,,0,0,,0.0,2019,,
Keemo Paul,,,DC,Delhi Capitals,8,,8,,117,,237,54,,,26.33,18.11,18.11,,,8.72,27.0,,,,1,1,,,,,9,,,,3/17,3/17,0,,0,0,,0.0,2019,,
Shardul Thakur,,,CSK,Chennai Super Kings,10,,9,,105,,281,65,,,35.12,22.5,22.5,,,9.36,30.0,,,,1,1,,,,,8,,,,3/19,3/19,0,,0,0,,0.0,2019,,
Mohammad Nabi,,,SRH,Sunrisers Hyderabad,8,,8,,217,,194,69,,,24.25,21.87,21.87,,,6.65,29.0,,,,8,7,,,,,8,,,,4/11,4/11,0,,1,0,,0.0,2019,,
Umesh Yadav,,,RCB,Royal Challengers Bangalore,11,,11,,21,,371,88,,,46.37,28.37,28.37,,,9.8,38.0,,,,3,1,,,,,8,,,,4/24,4/24,0,,0,0,,0.0,2019,,
Sandeep Lamichhane,,,DC,Delhi Capitals,6,,6,,121,,210,47,,,26.25,17.25,17.25,,,9.13,23.0,,,,0,0,,,,,8,,,,3/36,3/36,0,,0,0,,0.0,2019,,
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,9,,9,,63,,269,69,,,38.42,24.14,24.14,,,9.55,28.0,,,,0,0,,,,,7,,,,4/32,4/32,1,,0,0,,0.0,2019,,
