Player Name,Team Name,Price,Year,Price_Cr
Mustafizur rahman,Delhi Capitals,2 crore,2023,2.0
AM Ghazanfar,Delhi Capitals,0.65 crore,2023,0.65
Ishant sharma,Delhi Capitals,0.5 crore,2023,0.5
Yash Dhull,Delhi Capitals,0.5 crore,2023,0.5
Praveen dubey,Delhi Capitals,0.5 crore,2023,0.5
Abishek Porel,Delhi Capitals,0.20 crore,2023,0.2
Aman Hakim Khan,Delhi Capitals,0.2 crore,2023,0.2
Priyam Garg,Delhi Capitals,0.2 crore,2023,0.2
Ripal Patel,Delhi Capitals,0.2 crore,2023,0.2
Sarfaraz khan,Delhi Capitals,0.2 crore,2023,0.2
Hardik pandya,Gujarat Titans,15 crore,2023,15.0
Rashid Khan,Gujarat Titans,15 crore,2023,15.0
Rahul tewatia,Gujarat Titans,9 crore,2023,9.0
Shubman gill,Gujarat Titans,8 crore,2023,8.0
Mohammad shami,Gujarat Titans,6.25 crore,2023,6.25
Shivam mavi,Gujarat Titans,6 crore,2023,6.0
Yash Dayal,Gujarat Titans,3.2 crore,2023,3.2
David Miller,Gujarat Titans,3 crore,2023,3.0
Abhinav Manohar,Gujarat Titans,2.6 crore,2023,2.6
Sai Sudharsan,Gujarat Titans,2.6 crore,2023,2.6
Alzarri joseph,Gujarat Titans,2.4 crore,2023,2.4
Matthew wade,Gujarat Titans,2.4 crore,2023,2.4
Kane williamson,Gujarat Titans,2 crore,2023,2.0
Wriddhiman saha,Gujarat Titans,1.9 crore,2023,1.9
Jayant yadav,Gujarat Titans,1.7 crore,2023,1.7
Vijay shankar,Gujarat Titans,1.4 crore,2023,1.4
Srikar Bharat,Gujarat Titans,1.2 crore,2023,1.2
Joshua Little,Gujarat Titans,0.5 crore,2023,0.5
Mohit sharma,Gujarat Titans,0.5 crore,2023,0.5
Varun aaron,Gujarat Titans,0.5 crore,2023,0.5
Noor Ahmad,Gujarat Titans,0.3 crore,2023,0.3
Dasun Shanaka,Gujarat Titans,0 crore,2023,0.0
Andre russell,Kolkata Knight Riders,12 crore,2023,12.0
Shardul thakur,Kolkata Knight Riders,10.75 crore,2023,10.75
Lockie ferguson,Kolkata Knight Riders,10 crore,2023,10.0
Nitish rana,Kolkata Knight Riders,8 crore,2023,8.0
Varun chakravarthy,Kolkata Knight Riders,8 crore,2023,8.0
Venkatesh Iyer,Kolkata Knight Riders,8 crore,2023,8.0
Sunil narine,Kolkata Knight Riders,6 crore,2023,6.0
Jason Roy,Kolkata Knight Riders,2.8 crore,2023,2.8
Umesh yadav,Kolkata Knight Riders,2 crore,2023,2.0
Rahmanullah Gurbaz,Kolkata Knight Riders,1.5 crore,2023,1.5
Tim southee,Kolkata Knight Riders,1.5 crore,2023,1.5
David Wiese,Kolkata Knight Riders,1.00 crore,2023,1.0
Narayan Jagadeesan,Kolkata Knight Riders,0.9 crore,2023,0.9
Vaibhav Arora,Kolkata Knight Riders,0.6 crore,2023,0.6
Rinku singh,Kolkata Knight Riders,0.55 crore,2023,0.55
Litton Das,Kolkata Knight Riders,0.5 crore,2023,0.5
Mandeep singh,Kolkata Knight Riders,0.5 crore,2023,0.5
Kulwant khejroliya,Kolkata Knight Riders,0.2 crore,2023,0.2
Suyash Sharma,Kolkata Knight Riders,0.2 crore,2023,0.2
Anukul roy,Kolkata Knight Riders,0.2 crore,2023,0.2
Harshit Rana,Kolkata Knight Riders,0.2 crore,2023,0.2
Karan Sharma,Lucknow Supergiants,50 crore,2023,50.0
Lokesh rahul,Lucknow Supergiants,17 crore,2023,17.0
Nicholas Pooran,Lucknow Supergiants,16 crore,2023,16.0
Avesh khan,Lucknow Supergiants,10 crore,2023,10.0
Marcus Stoinis,Lucknow Supergiants,9.2 crore,2023,9.2
Krunal pandya,Lucknow Supergiants,8.25 crore,2023,8.25
