StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Harbhajan Singh,95,13,,,,10010,,,CSK,Chennai Super Kings,10010,,,3,,29,36,,80.55,,,,,,,,,,3,1,3.0,1.0,3,0,9.66,0,0,,19,9.66,,,2018,
Piyush Chawla,149,15,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,7,,27,34,,79.41,,,,,,,,,,1,1,1.0,1.0,4,3,6.75,0,0,,12,6.75,,,2018,
Dan Christian,0,4,,,,10010,,,DC,Delhi Capitals,10010,,,3,,26,33,,78.78,,,,,,,,,,0,1,0.0,1.0,2,1,13.0,0,0,,13,13.0,,,2018,
Mohammed Siraj,63,11,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,4,,25,22,,113.63,,,,,,,,,,2,1,2.0,1.0,2,2,12.5,0,0,,14,12.5,,,2018,
Kedar Jadhav,58,1,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,24,22,,109.09,,,,,,,,,,1,2,1.0,2.0,0,1,0.0,0,0,,24*,0.0,,,2018,
Tom Curran,309,5,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,4,,23,28,,82.14,,,,,,,,,,3,0,3.0,0.0,3,1,7.66,0,0,,18,7.66,,,2018,
Mayank Markande,87,14,,,,10010,,,MI,Mumbai Indians,10010,,,6,,21,24,,87.5,,,,,,,,,,2,0,2.0,0.0,2,4,10.5,0,0,,7*,10.5,,,2018,
Mahipal Lomror,184,2,,,,10010,,,RR,Rajasthan Royals,10010,,,2,,20,21,,95.23,,,,,,,,,,1,0,1.0,0.0,1,1,20.0,0,0,,11,20.0,,,2018,
Mohammad Nabi,217,2,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,2,,18,12,,150.0,,,,,,,,,,3,0,3.0,0.0,2,0,9.0,0,0,,14,9.0,,,2018,
Corey Anderson,0,3,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,3,,17,22,,77.27,,,,,,,,,,0,1,0.0,1.0,3,0,5.66,0,0,,15,5.66,,,2018,
Chris Woakes,314,5,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,4,,17,19,,89.47,,,,,,,,,,1,1,1.0,1.0,2,2,8.5,0,0,,11,8.5,,,2018,
Mitchell Johnson,0,6,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,2,,16,11,,145.45,,,,,,,,,,2,0,2.0,0.0,0,2,0.0,0,0,,12*,0.0,,,2018,
Jofra Archer,181,10,,,,10010,,,RR,Rajasthan Royals,10010,,,8,,15,21,,71.42,,,,,,,,,,2,0,2.0,0.0,5,3,3.0,0,0,,8,3.0,,,2018,
Shardul Thakur,105,13,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,15,5,,300.0,,,,,,,,,,3,0,3.0,0.0,0,1,0.0,0,0,,15*,0.0,,,2018,
Shivam Mavi,154,9,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,4,,13,15,,86.66,,,,,,,,,,1,0,1.0,0.0,3,1,4.33,0,0,,7,4.33,,,2018,
Bhuvneshwar Kumar,15,12,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,4,,13,16,,81.25,,,,,,,,,,1,0,1.0,0.0,2,2,6.5,0,0,,7,6.5,,,2018,
Murali Vijay,53,1,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,12,10,,120.0,,,,,,,,,,0,1,0.0,1.0,1,0,12.0,0,0,,12,12.0,,,2018,
Kuldeep Yadav,14,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,3,,12,24,,50.0,,,,,,,,,,1,0,1.0,0.0,1,2,12.0,0,0,,7*,12.0,,,2018,
Ankit Rajpoot,124,8,,,,10010,,,PBKS,Punjab Kings,10010,,,3,,11,18,,61.11,,,,,,,,,,1,0,1.0,0.0,3,0,3.66,0,0,,8,3.66,,,2018,
Mitchell McClenaghan,0,11,,,,10010,,,MI,Mumbai Indians,10010,,,5,,11,10,,110.0,,,,,,,,,,1,1,1.0,1.0,2,3,5.5,0,0,,11*,5.5,,,2018,
